company_id,company_name,year,market_cap_crore,enterprise_value_crore,fcf_cr,fcf_yield_pct,pe_ratio,pb_ratio,ev_ebitda,dividend_yield_pct,pe_5yr_median,sector_median_pe,broad_sector,valuation_flag
DMART,Avenue Supermarts Ltd,2024,3053088.97,3624591.94,,,72.53,11.71,36.84,1.94,37.82,38.005,Consumer Discretionary,Caution
DRREDDY,Dr Reddys Laboratories Ltd,2024,2441803.28,2725256.67,,,11.73,10.19,14.56,0.09,13.03,47.06,Healthcare,Discount
EICHERMOT,Eicher Motors Ltd,2024,222391.83,234358.89,,,15.62,13.61,19.29,4.41,18.91,38.005,Consumer Discretionary,Discount
GAIL,GAIL (India) Ltd,2024,1531867.57,1613856.89,,,25.84,9.54,33.07,0.31,30.66,44.915,Energy,Discount
GODREJCP,Godrej Consumer Products Ltd,2024,1327797.2,1350416.57,,,33.59,8.07,23.55,3.09,40.79,50.95,Consumer Staples,Discount
GRASIM,Grasim Industries Ltd,2024,478951.82,601673.21,,,79.35,5.68,15.23,0.98,38.27,47.155,Industrials,Caution
HAL,Hindustan Aeronautics Ltd,2024,2643616.86,3140281.78,,,71.89,3.65,8.76,2.77,51.22,47.155,Industrials,Caution
HAVELLS,Havells India Ltd,2024,2521508.87,2620805.22,,,45.41,14.08,30.73,2.6,45.41,47.155,Industrials,Fair
HCLTECH,HCL Technologies Ltd,2024,412593.29,461362.25,,,63.63,5.44,31.21,1.99,63.63,63.63,Information Technology,Fair
HDFCBANK,HDFC Bank Ltd,2024,808359.03,976938.14,35669.0,4.412519521183551,49.42,4.4,22.54,4.33,30.19,34.24,Financials,Caution
HDFCLIFE,HDFC Life Insurance Company Ltd,2024,47027.6,42921.31,,,50.59,11.28,31.63,3.22,50.59,34.24,Financials,Caution
HEROMOTOCO,"Hero MotoCorp Ltd
",2024,1593400.88,1475343.49,,,53.86,12.6,28.27,1.91,56.18,38.005,Consumer Discretionary,Caution
HINDALCO,Hindalco Industries Ltd,2024,722281.1,656285.92,,,56.45,9.32,27.63,0.98,56.45,55.62,Materials,Fair
HINDUNILVR,"Hindustan Unilever Ltd
",2024,548890.59,587463.38,,,34.51,11.88,7.52,4.32,22.92,50.95,Consumer Staples,Discount
ICICIBANK,ICICI Bank Ltd,2024,1319221.86,1598760.1,12547.0,0.9510909711578005,25.76,6.2,38.28,3.43,25.76,34.24,Financials,Fair
ICICIGI,ICICI Lombard General Insurance Company Ltd,2024,1271789.21,1382030.89,,,49.0,7.86,36.96,3.46,49.0,34.24,Financials,Caution
ICICIPRULI,ICICI Prudential Life Insurance Company Ltd,2024,1596987.55,2014403.87,,,20.83,12.38,22.57,0.35,36.03,34.24,Financials,Discount
INDIGO,Interglobe Aviation Ltd,2024,1040632.92,1061542.29,,,76.23,7.87,24.64,4.27,51.42,38.005,Consumer Discretionary,Caution
INDUSINDBK,IndusInd Bank Ltd,2024,1807433.12,1674611.06,-17468.0,-0.9664534641259643,8.99,3.7,28.79,1.42,51.73,34.24,Financials,Discount
INFY,Infosys Ltd,2024,1112279.92,1372029.68,,,35.99,8.97,36.7,4.1,35.99,63.63,Information Technology,Discount
IOC,"Indian Oil Corporation
",2024,1418164.33,1786391.89,,,28.61,4.24,33.71,1.25,50.51,44.915,Energy,Discount
IRCTC,Indian Railway Catering & Tourism Corporation Ltd,2024,1258520.29,1473943.68,,,60.44,5.74,32.47,1.08,36.42,38.005,Consumer Discretionary,Caution
IRFC,Indian Railway Finance Corporation Ltd,2024,2618348.58,2449260.08,,,9.81,3.91,16.66,2.82,37.81,34.24,Financials,Discount
ITC,"ITC Ltd
",2024,332245.58,369131.93,,,47.85,3.24,17.19,4.26,55.53,50.95,Consumer Staples,Fair
JINDALSTEL,Jindal Steel & Power Ltd,2024,396587.97,478682.44,,,77.64,5.73,20.22,1.9,47.36,55.62,Materials,Caution
JIOFIN,Jio Financial Services Ltd,2024,1401774.99,1814281.53,,,34.24,9.91,26.41,3.09,65.98,34.24,Financials,Fair
JSWENERGY,JSW Energy Ltd,2024,110870.53,124622.6,,,24.79,9.88,35.95,1.25,36.57,44.915,Energy,Discount
JSWSTEEL,JSW Steel Ltd,2024,2612646.38,3187328.18,,,69.27,4.37,35.49,2.94,36.76,55.62,Materials,Caution
KOTAKBANK,"Kotak Mahindra Bank Ltd
",2024,430223.52,548886.13,6766.0,1.5726708758275234,32.9,1.15,15.52,1.51,43.71,34.24,Financials,Fair
LICI,Life Insurance Corporation of India,2024,183583.67,205478.22,,,30.67,8.1,12.21,3.77,30.67,34.24,Financials,Fair
LODHA,Macrotech Developers Ltd,2024,1209919.99,1301112.44,,,51.95,7.65,34.33,4.05,51.95,49.105000000000004,Real Estate,Fair
LT,Larsen & Toubro Ltd,2024,1124597.5,1097873.76,,,30.8,2.48,16.63,1.26,18.77,47.155,Industrials,Discount
LTIM,LTIMindtree Ltd,2024,1347046.9,1647384.23,,,64.52,2.38,18.9,4.43,61.37,63.63,Information Technology,Fair
M&M,"Mahindra & Mahindra Ltd
",2024,4173085.48,3837414.39,,,14.22,0.81,29.08,2.37,34.84,38.005,Consumer Discretionary,Discount
MARUTI,Maruti Suzuki India Ltd,2024,1503863.63,1891991.87,,,20.78,8.26,29.97,1.78,20.78,38.005,Consumer Discretionary,Discount
MOTHERSON,Samvardhana Motherson International Ltd,2024,146151.16,161406.34,,,9.54,2.38,33.39,2.18,30.92,38.005,Consumer Discretionary,Discount
NAUKRI,Info Edge (India) Ltd,2024,563824.44,544283.76,,,32.88,8.33,11.87,4.29,36.89,48.33,Communication Services,Discount
NESTLEIND,Nestle India Ltd,2024,1677775.19,1677279.88,,,54.96,14.34,15.49,3.85,46.21,50.95,Consumer Staples,Fair
NHPC,"NHPC Ltd
",2024,1740404.25,2103124.81,,,71.17,13.74,18.26,1.68,59.63,44.915,Energy,Caution
NTPC,NTPC Ltd,2024,907823.11,1142814.16,,,30.8,5.24,37.12,0.06,54.44,44.915,Energy,Discount
ONGC,Oil & Natural Gas Corpn Ltd,2024,390111.05,499988.49,,,18.15,10.36,11.72,1.11,43.8,44.915,Energy,Discount
PFC,Power Finance Corporation Ltd,2024,2011885.81,2014246.29,,,35.6,6.59,15.67,0.42,35.6,34.24,Financials,Fair
PIDILITIND,Pidilite Industries Ltd,2024,162274.18,165749.2,,,36.12,12.3,5.36,1.01,38.11,55.62,Materials,Discount
PNB,Punjab National Bank,2024,1825925.6,2365495.49,-29445.0,-1.6126067787208855,19.29,10.91,23.64,1.32,20.42,34.24,Financials,Discount
POWERGRID,Power Grid Corporation of India Ltd,2024,372584.24,410018.95,,,64.39,5.1,23.07,3.09,37.33,44.915,Energy,Caution
RECLTD,REC Ltd,2024,291917.42,315256.49,,,31.49,4.59,23.95,2.18,31.49,34.24,Financials,Fair
RELIANCE,"Reliance Industries Ltd
",2024,432472.71,545039.37,,,58.34,3.25,24.96,4.21,58.34,44.915,Energy,Caution
SBILIFE,SBI Life Insurance Company Ltd,2024,886097.71,1097553.71,,,69.98,9.48,31.04,1.62,60.68,34.24,Financials,Caution
SBIN,State Bank of India,2024,2400436.05,2686824.35,18156.0,0.7563625783740417,54.93,2.72,21.53,0.42,54.93,34.24,Financials,Caution
SHREECEM,Shree Cement Ltd,2024,3154358.33,2911084.5,,,25.87,1.21,26.58,3.2,32.7,55.62,Materials,Discount
SHRIRAMFIN,"Shriram Finance Ltd
",2024,868933.47,1098024.4,,,68.53,7.91,28.82,1.86,37.85,34.24,Financials,Caution
SIEMENS,Siemens Ltd,2024,1191331.95,1268446.56,1168.0,0.09804152402695152,33.32,9.25,30.88,3.69,41.13,47.155,Industrials,Fair
SUNPHARMA,Sun Pharmaceuticals Industries Ltd,2024,1339586.09,1264175.16,,,37.9,6.71,21.41,3.88,24.58,47.06,Healthcare,Fair
TATACONSUM,Tata Consumer Products Ltd,2024,350543.35,387549.77,,,54.79,7.14,24.84,1.87,54.79,50.95,Consumer Staples,Fair
TATAMOTORS,Tata Motors Ltd,2024,1504106.64,1588737.42,,,67.07,0.93,15.35,3.65,34.17,38.005,Consumer Discretionary,Caution
TATAPOWER,"Tata Power Company Ltd
",2024,1647269.48,1925345.06,,,14.5,3.48,12.02,0.49,24.7,44.915,Energy,Discount
TATASTEEL,"Tata Steel Ltd
",2024,369110.65,402972.23,,,48.97,9.23,38.87,1.0,48.97,55.62,Materials,Fair
TCS,Tata Consultancy Services Ltd,2024,461188.15,542230.13,,,78.69,6.08,29.94,1.62,57.2,63.63,Information Technology,Caution
TECHM,Tech Mahindra Ltd,2024,3021095.64,3131058.36,,,57.4,7.43,7.85,0.64,51.58,63.63,Information Technology,Fair
TITAN,"Titan Company Ltd
",2024,1793769.72,2116401.21,,,10.13,10.51,21.0,3.1,26.55,38.005,Consumer Discretionary,Discount
TORNTPHARM,Torrent Pharmaceuticals Ltd,2024,1870170.39,2275967.43,,,46.4,6.43,27.93,1.22,46.4,47.06,Healthcare,Fair
TRENT,Trent Ltd,2024,571322.04,566293.08,,,8.65,11.82,34.65,3.46,65.94,38.005,Consumer Discretionary,Discount
TVSMOTOR,TVS Motor Company Ltd,2024,266591.41,334973.15,,,46.1,5.62,7.1,3.07,46.1,38.005,Consumer Discretionary,Caution
